No	Title	VideoUrl	TimeStamp	Sentence	RowNumber	IsUsefulSentence	Key steps	Verb	Object(directly related with Verb)	Location	Time	Temperature	Other important phrase(like with	key_sentence_prediction
1	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:00.1	"guys , jason hill here today."	0	0								0
2	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:01.5	"and i 'm with chef great stillman at repor restaurant in rancho cucamonga, and he 's going to make up a discourse today."	1	0								0
3	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:07.3	what are we going to have?	2	0								0
4	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:08.2	"we 're going to have a traditional margherita pizza as done in naples italy, and we 're going to make it right here in our eight hundred degree oven."	3	0								0
5	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:15.9	so this is the dough.	4	0								0
6	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:17.4	"it ferments overnight darts off as an eight ounce ball, and you can tell."	5	0								0
7	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:21.6	"it 's very loose in texture, and, that is."	6	0								0
8	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:24.6	because the gluten has had a long time to relax in the refrigerator overnight and develop the nice bubbles that we 're going to see on the edge of the crust and then the tomatoes are a spanish can tomato very similar to a san marzano.	7	0								1
9	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:40.5	"but not quite as sweet, i like it to have a little bit more acid than the san marzano, and then we have a handmade mozzarella cheese that 's made in los angelus to make it daily."	8	0								0
10	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:54.9	and then extra virgin olive oil.	9	0								1
11	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	00:58.5	so we 've placed the dough directly into the caputo flour that we import from italy.	10	1	place dough in caputo flour	place	dough	caputo flour				1
12	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:03.5	it 's the same flower that we make the dough with.	11	0								0
13	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:05.9	"and then we give it a flip as i 've read in some, some manuals for italian pizza that are neapolitan style."	12	1	flip dough	flip	dough					0
14	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:16.0	they say this is something you have to do.	13	0								0
15	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:18.2	in order for it to be traditional you have to actually dip it in the flower.	14	0								1
16	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:21.6	although i 'm not quite sure.	15	0								0
17	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:23.6	"but that 's what we do anyway, we sprinkle the surface and then real quick."	16	1	sprinkle the surface	sprinkle	surface					0
18	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:29.5	we just give a squish with our palm and make it flat in the center.	17	1	squish dough with palm; flatten center	squish; flatten	dough;center of dough				with palm; 	1
19	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:34.6	not really disturbing the outside edge and then with our fingertips.	18	0								1
20	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:38.0	"we dimple the rest of the pizza, moving the pizza around definitely handmade, definitely handmade, not trying your best not to disturb the edge 'cause that 's where you 're going to get a lot of natural bubbles from the fermentation."	19	1	dimple the rest of pizza; move the pizza around	dimple; move	pizza;pizza					1
21	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	01:54.5	"once you 've dimpled, you 're going to do a quick stretch, while you 're rotating."	20	1	stretch dough;rotate dough	stretch;rotate 	dough;dough					1
22	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:01.7	"you 're stretching the just the edge of the dough out and you 're trying your best not to disturb the center, the center generally stretches out on its own."	21	0								1
23	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:12.9	you wo n't have to worry too much about it.	22	0								0
24	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:14.3	"you really just stretching the edge, and you can see with not to much fanfare."	23	0								0
25	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:18.7	we 've established a good diameter without too much.	24	0								1
26	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:23.1	"pull back, you actually see almost not."	25	0								0
27	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:25.8	"and then we 're going to put it, pick it up and put it on the backs of our hands and just let it kind of hang down on the backs of our knuckles."	26	1	pick up dough and let it hang on backs of knuckles	pick up;hang on	dough;dough	 ;backs of knuckles				1
28	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:37.1	and then the diameter is even greater and we 've really not work too hard to get it that way and water in the dough in the dough is strictly.	27	0								1
29	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:50.9	it 's the red bag.	28	0								0
30	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	02:52.1	"if you want to look for it on amazon, and it has a particular content of ash and gluten protein that we prefer, and it is a double zero ground flour and salt water and instant yeast."	29	0								0
31	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:10.3	"not active, dry, but instant and will give you the recipe for that later so after you stretch it."	30	0								0
32	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:16.0	"this is basically the size, you do n't have to throw it or anything."	31	0								0
33	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:19.1	just put it right onto our pizza peel that we 're going to use to get into our oven and then we 're going to put some sauce on it.	32	1	"put it onto pizza peel, put sauce on it"	put 	sauce	pizza peel				1
34	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:28.6	this is our antonina tomatoes and the only thing that we do to this canned tomato is put a little bit of salt in it and elevate the salt level.	33	0								1
35	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	0:03:38	and that 's it.	34	0								0
36	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:38.6	we puree it with salt and that is it 's about two.	35	0								1
37	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:43.2	"do you want a quarter to two and a half ounces of sauce, and i 'm going to put the cheese on."	36	1	put cheese on 	put on	cheese					1
38	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	03:48.8	"next and probably you guys will wonder why there 's not that much cheese on there and if you 've ever been, italy, you 'll know that they just do n't put a lot of cheese on their neapolitan style pizzas got this recipe from restaurants that i worked in i 'm not sure if you 've been to downtown disney."	37	0								0
39	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:08.2	"but there 's, there 's a?"	38	0								0
40	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:11.8	"yeah , there 's a place called naples."	39	0								0
41	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:14.6	"and they crank out about five hundred to six hundred pieces of day, and i used to run that place."	40	0								0
42	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:19.2	"so it 's just a haphazard, scattering that 's it."	41	0								0
43	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:23.1	"that 's the only amount of cheese we 're going to put on there, and that she 's going to melt down real fast in the oven, and kind of spread out just a little bit."	42	0								1
44	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:29.4	but not much it 's not an american style pizza where the whole thing is covered with cheese you taste more of the acid of the tomato and the extra virgin.	43	0								0
45	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:38.9	"olive oil actors come out of the oven, and we put on here."	44	1	put on fresh basil	put on	fresh basil					0
46	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:41.9	is a little bit of basil fresh?	45	0								0
47	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:47.3	but can i bring him up.	46	0								0
48	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:50.2	"you can leave in the whole, it does n't really matter the surprisingly."	47	0								0
49	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:54.1	they just get a little bit charred.	48	0								0
50	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	04:56.9	but not much as sometimes they even retain all their green color after they come out of the oven.	49	0								0
51	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:01.6	so that 's all we do to the pizza and then we go into the oven just going to place it directly on the stone and give it a shake.	50	1	"place pizza in oven, give it a shake"	place;shake	pizza;pizza	oven; 				1
52	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:12.8	an off it goes.	51	0								0
53	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:15.2	"how was your last day there, generally it is going to stay in there about two minutes?"	52	0								0
54	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:20.3	"and the higher, the temperature, the oven the faster."	53	0								0
55	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:22.8	it will bake obviously and you 'll start to see immediately.	54	0								0
56	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:25.5	the crust will start to give rise and the cheese will start to kind of sweat a little bit.	55	0								1
57	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:32.3	"the sauce will start to boil, and you 'll get some characteristic charring on the backside of the pizza that 's closest to the fire and."	56	0								1
58	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:40.4	"so will have to rotate it every thirty to forty five seconds, your home oven will take you about ten minutes."	57	1	rotate pizza every 30-45 seconds	rotate	pizza		30-45 seconds			1
59	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:48.3	at the very bottom that 's where you want to have your pizza stone so it 's directly in contact with your heating element of your stove.	58	0								1
60	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:57.0	would you have back there?	59	0								0
61	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	05:58.0	"it 's not for smoking, flavor or anything like that."	60	0								0
62	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:00.9	"it 's just neutral, very neutral and clean burning wood, so this is white oak."	61	0								0
63	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:08.7	bubbling up nice beautiful there.	62	0								0
64	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:15.8	the cheese you can see.	63	0								0
65	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:16.7	"it 's a little bit more resistant, then the dell and you 're looking to put a little just starting to karma, lies the top of the cheese getting a little bit brown."	64	0								1
66	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:28.5	that 's when i like it to be done.	65	0								0
67	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:36.8	"and , that is a good pizza."	66	0								0
68	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:38.8	we 're going to put a little bit of extra virgin olive oil directly on.	67	1	put extra vigrin olive oil on	put on	extra virgin olive oil					1
69	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:46.9	"yeah , over the whole pizza and then in america we cut it, but i 'm told in, uh, in italy you cut it yourself."	68	1	cut the pizza	cut	pizza					0
70	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	06:57.7	and here is how we serve a traditional neapolitan pizza from report restaurant in rancho cucamonga.	69	0								0
71	pizza marghetta	https://www.youtube.com/watch?v=FHvZgt3ExDI	07:11.7	all that sauce is amazing.	70	0								0
