No,Title,VideoUrl,TimeStamp,Sentence,RowNumber,IsUsefulSentence,Key steps,Verb,Object(directly related with Verb),Location,Time,Temperature,Other important phrase(like with,Video Pred,Clip IDs
1,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:00.1,"guys , jason hill here today.",0,0,,,,,,,,look grape,FHvZgt3ExDI_0001
2,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:01.5,"and i 'm with chef great stillman at repor restaurant in rancho cucamonga, and he 's going to make up a discourse today.",1,0,,,,,,,,"look grape, close grape","FHvZgt3ExDI_0001, FHvZgt3ExDI_0002"
3,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:07.3,what are we going to have?,2,0,,,,,,,,close grape,FHvZgt3ExDI_0002
4,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:08.2,"we 're going to have a traditional margherita pizza as done in naples italy, and we 're going to make it right here in our eight hundred degree oven.",3,0,,,,,,,,"close grape, take pizza, close cupboard","FHvZgt3ExDI_0002, FHvZgt3ExDI_0003, FHvZgt3ExDI_0004"
5,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:15.9,so this is the dough.,4,0,,,,,,,,close cupboard,FHvZgt3ExDI_0004
6,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:17.4,"it ferments overnight darts off as an eight ounce ball, and you can tell.",5,0,,,,,,,,"close cupboard, put onion","FHvZgt3ExDI_0004, FHvZgt3ExDI_0005"
7,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:21.6,"it 's very loose in texture, and, that is.",6,0,,,,,,,,put onion,FHvZgt3ExDI_0005
8,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:24.6,because the gluten has had a long time to relax in the refrigerator overnight and develop the nice bubbles that we 're going to see on the edge of the crust and then the tomatoes are a spanish can tomato very similar to a san marzano.,7,0,,,,,,,,"put onion, put bowl, take pizza, put bowl, put bowl","FHvZgt3ExDI_0005, FHvZgt3ExDI_0006, FHvZgt3ExDI_0007, FHvZgt3ExDI_0008, FHvZgt3ExDI_0009"
9,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:40.5,"but not quite as sweet, i like it to have a little bit more acid than the san marzano, and then we have a handmade mozzarella cheese that 's made in los angelus to make it daily.",8,0,,,,,,,,"put bowl, put bowl, put bowl","FHvZgt3ExDI_0009, FHvZgt3ExDI_0010, FHvZgt3ExDI_0011"
10,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:54.9,and then extra virgin olive oil.,9,0,,,,,,,,"put bowl, put tap","FHvZgt3ExDI_0011, FHvZgt3ExDI_0012"
